date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:16:53	181257/181257	---M-Z	200	added ('OK')	text/html	etag:%222c409-66e02ef7-fb47accf76b3b61a;gz%22	https://pixelfit.tailorfit.site/html/pesco/index.html	C:/My%20Web%20Sites/ecommerce%20new/pixelfit.tailorfit.site/html/pesco/index.html	(from )
17:16:54	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63c84b7a-b86e215e5ed1bd66;gz%22	https://pixelfit.tailorfit.site/robots.txt		(from )
17:16:54	1244/1244	---M--	200	added ('OK')	image/png	etag:%224dc-66e02f03-1f31c14e5b957a2;;;%22	https://pixelfit.tailorfit.site/html/pesco/assets/images/favicon.png	C:/My%20Web%20Sites/ecommerce%20new/pixelfit.tailorfit.site/html/pesco/assets/images/favicon.png	(from https://pixelfit.tailorfit.site/html/pesco/index.html)
17:16:55	2204/2204	---M-Z	200	added ('OK')	text/css	etag:%2289c-66e02f2e-5a140f902416b71;gz%22	https://pixelfit.tailorfit.site/html/pesco/assets/fonts/flaticon/flaticon_pesco.css	C:/My%20Web%20Sites/ecommerce%20new/pixelfit.tailorfit.site/html/pesco/assets/fonts/flaticon/flaticon_pesco.css	(from https://pixelfit.tailorfit.site/html/pesco/index.html)
17:16:55	173842/173842	---M-Z	200	added ('OK')	text/css	etag:%222a712-66e02f2d-322b35d66edbb959;gz%22	https://pixelfit.tailorfit.site/html/pesco/assets/fonts/fontawesome/css/all.min.css	C:/My%20Web%20Sites/ecommerce%20new/pixelfit.tailorfit.site/html/pesco/assets/fonts/fontawesome/css/all.min.css	(from https://pixelfit.tailorfit.site/html/pesco/index.html)
17:16:56	232803/232803	---M-Z	200	added ('OK')	text/css	etag:%2238d63-66e02efd-75cf4c218054068d;gz%22	https://pixelfit.tailorfit.site/html/pesco/assets/vendor/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/ecommerce%20new/pixelfit.tailorfit.site/html/pesco/assets/vendor/bootstrap/css/bootstrap.min.css	(from https://pixelfit.tailorfit.site/html/pesco/index.html)
17:16:56	1981/1981	---M-Z	200	added ('OK')	text/css	etag:%227bd-66e02efa-66be02d87a17e3e6;gz%22	https://pixelfit.tailorfit.site/html/pesco/assets/vendor/slick/slick.css	C:/My%20Web%20Sites/ecommerce%20new/pixelfit.tailorfit.site/html/pesco/assets/vendor/slick/slick.css	(from https://pixelfit.tailorfit.site/html/pesco/index.html)
17:16:56	2758/2758	---M-Z	200	added ('OK')	text/css	etag:%22ac6-66e02efb-3b2e6b99c1247a17;gz%22	https://pixelfit.tailorfit.site/html/pesco/assets/vendor/nice-select/css/nice-select.css	C:/My%20Web%20Sites/ecommerce%20new/pixelfit.tailorfit.site/html/pesco/assets/vendor/nice-select/css/nice-select.css	(from https://pixelfit.tailorfit.site/html/pesco/index.html)
17:16:56	6951/6951	---M-Z	200	added ('OK')	text/css	etag:%221b27-66e02efb-d32a7aa4df98d759;gz%22	https://pixelfit.tailorfit.site/html/pesco/assets/vendor/magnific-popup/dist/magnific-popup.css	C:/My%20Web%20Sites/ecommerce%20new/pixelfit.tailorfit.site/html/pesco/assets/vendor/magnific-popup/dist/magnific-popup.css	(from https://pixelfit.tailorfit.site/html/pesco/index.html)
17:16:57	16959/16959	---M-Z	200	added ('OK')	text/css	etag:%22423f-66e02efb-406c07d1d951555c;gz%22	https://pixelfit.tailorfit.site/html/pesco/assets/vendor/jquery-ui/jquery-ui.min.css	C:/My%20Web%20Sites/ecommerce%20new/pixelfit.tailorfit.site/html/pesco/assets/vendor/jquery-ui/jquery-ui.min.css	(from https://pixelfit.tailorfit.site/html/pesco/index.html)
